Data;Output
Поставь громкость системы на 70  увеличь Дискорд до 60  убавь Телеграмм и сделай подсветку тёплой  Пока я пил чай  услышал звонок в дверь ;1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 0 0 0 0 0 0 0 0
Переведи аудио на наушники  увеличь громкость системы  убавь браузер и включи подсветку с плавной сменой оттенков  Кошка тихо наблюдает за экраном ;2 2 2 2 1 1 1 1 1 0 4 4 4 4 4 4 0 0 0 0 0
Сделай так  чтобы подсветка меняла цвета  увеличь громкость Телеграмма  убавь системный звук и переведи аудио на HDMI  Печенье осталось на тарелке ;4 4 4 4 4 4 1 1 1 1 1 1 0 2 2 2 2 0 0 0 0
Поставь громкость системы на 60  увеличь Дискорд до 70  убавь Телеграмм и включи подсветку с плавной сменой оттенков  Пока я пил чай  заметил пролетающую птицу за окном ;1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 4 0 0 0 0 0 0 0 0 0
Переведи звук на Bluetooth-наушники  убавь громкость в браузере  увеличь системный звук и сделай так  чтобы подсветка была мягкой и тёплой  Кошка тихо наблюдает за экраном ;2 2 2 2 1 1 1 1 1 1 1 0 4 4 4 4 4 4 4 4 0 0 0 0 0
Включи компьютер  установи громкость Телеграмма на 80  убавь системный звук  переведи аудио на HDMI и активируй подсветку на зелёный оттенок  Пока я проверял почту  вспомнил про ужин ;3 3 1 1 1 1 1 1 1 1 2 2 2 2 0 4 4 4 4 4 0 0 0 0 0 0 0
Сделай так  чтобы подсветка плавно меняла оттенки  увеличь громкость системы  переведи звук в Дискорде на 50 и убавь браузер  Кошка тихо спит на подоконнике ;4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0 0
Поставь громкость системы на 50  увеличь звук в Дискорде до 60  убавь Телеграмм и активируй плавное свечение подсветки  Пока я пил воду  подумал про письмо ;1 1 1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 0 0 0 0 0 0 0
Сделай так  чтобы подсветка плавно меняла оттенки  увеличь громкость в Дискорде  убавь Телеграмм и переведи звук на Bluetooth-наушники  Пока я пил чай  вспомнил про вчерашнюю заметку ;4 4 4 4 4 4 4 1 1 1 1 1 1 0 2 2 2 2 0 0 0 0 0 0 0 0
Поставь громкость системы на 60 процентов  увеличь браузер до 70  переведи аудио на HDMI и включи подсветку мягкого фиолетового цвета  Кошка тихо сидит рядом на столе ;1 1 1 1 1 1 1 1 1 1 2 2 2 2 0 4 4 4 4 4 0 0 0 0 0 0
Переведи звук на наушники  убавь громкость в Телеграмме  увеличь системный звук и сделай подсветку белой  Пока я проверял почту  услышал шум за окном ;2 2 2 2 1 1 1 1 1 1 1 0 4 4 4 0 0 0 0 0 0 0 0
Включи компьютер  установи громкость в Дискорде на 50  убавь браузер и переведи аудио на внешние колонки  Пока я думал о задачах  заметил пролетающего голубя ;3 3 1 1 1 1 1 1 1 1 0 2 2 2 2 2 0 0 0 0 0 0 0 0
Сделай так  чтобы подсветка была тёплой  увеличь громкость системы  переведи звук в Телеграмме на 60 и убавь браузер  Печенье осталось на тарелке со вчерашнего дня ;4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0
Поставь громкость Телеграмма на 70  убавь системный звук  переведи аудио на HDMI и включи подсветку с плавной сменой оттенков  Пока я пил воду  вспомнил про зарядку телефона ;1 1 1 1 1 1 1 1 2 2 2 2 0 4 4 4 4 4 4 0 0 0 0 0 0 0 0
Переведи звук на внешние колонки  увеличь громкость системы  убавь браузер и сделай подсветку голубой  Кстати  окно слегка приоткрыто  прохладно ;2 2 2 2 2 1 1 1 1 1 0 4 4 4 0 0 0 0 0
Сделай так  чтобы компьютер перезагрузился после уменьшения громкости Телеграмма  переведи аудио на наушники и установи подсветку на мягкий зелёный цвет  Пока я проверял файлы  услышал звонок ;3 3 3 3 3 0 1 1 1 2 2 2 2 0 4 4 4 4 4 4 0 0 0 0 0 0
Включи компьютер  убавь громкость в Дискорде  увеличь системный звук  переведи аудио на HDMI и активируй подсветку на белый цвет  Пока я пил чай  кошка подошла к столу ;3 3 1 1 1 1 1 1 1 2 2 2 2 0 4 4 4 4 4 0 0 0 0 0 0 0 0
Поставь громкость системы на 50  увеличь Дискорд до 60  убавь Телеграмм и сделай подсветку фиолетовой  Пока я думал о встрече  услышал стук в дверь ;1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 0 0 0 0 0 0 0 0 0
Переведи звук на Bluetooth-наушники  убавь громкость браузера  увеличь системный уровень и включи подсветку с плавной сменой оттенков  Кошка тихо наблюдает за экраном ;2 2 2 2 1 1 1 1 1 1 0 4 4 4 4 4 4 0 0 0 0 0
Сделай так  чтобы подсветка меняла цвета каждые десять секунд  увеличь громкость в Дискорде  убавь системный звук и переведи аудио на наушники  Пока я пил воду  подумал про письмо ;4 4 4 4 4 4 4 4 4 1 1 1 1 1 1 1 0 2 2 2 2 0 0 0 0 0 0 0
Поставь громкость Телеграмма на 70  убавь браузер до 30  увеличь системный звук и активируй подсветку на тёплый жёлтый оттенок  На столе осталась чашка кофе ;1 1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 4 0 0 0 0 0
Переведи аудио на внешние колонки  включи компьютер  убавь громкость в Дискорде  увеличь системный уровень и сделай подсветку белой  Пока я проверял сообщения  заметил лёгкий ветер за окном ;2 2 2 2 2 3 3 1 1 1 1 1 1 1 0 4 4 4 0 0 0 0 0 0 0 0 0
Включи компьютер  переведи звук на HDMI  установи громкость системы на 60  убавь Телеграмм и включи подсветку фиолетовой  Кошка тихо спит рядом ;3 3 2 2 2 2 1 1 1 1 1 1 1 0 4 4 4 0 0 0 0
Сделай так  чтобы подсветка плавно меняла оттенки  увеличь громкость системы  переведи звук в Дискорде на 50 и убавь браузер  Печенье лежит на столе рядом ;4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0 0
Поставь громкость системы на 70  увеличь Дискорд до 60  убавь Телеграмм и активируй подсветку на мягкий голубой  Пока я пил чай  услышал шаги в коридоре ;1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0 0 0 0
Переведи звук на Bluetooth-наушники  убавь громкость браузера  увеличь системный звук и сделай подсветку на белый цвет  Кошка тихо наблюдает за экраном ;2 2 2 2 1 1 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0
Включи компьютер  установи громкость Телеграмма на 80  убавь системный звук  переведи аудио на HDMI и активируй подсветку на зелёный оттенок  Пока я проверял почту  подумал про ужин ;3 3 1 1 1 1 1 1 1 1 2 2 2 2 0 4 4 4 4 4 0 0 0 0 0 0 0
Переведи звук на HDMI  убавь громкость браузера  увеличь системный уровень и включи подсветку фиолетового оттенка  Кошка тихо спит рядом ;2 2 2 2 1 1 1 1 1 1 0 4 4 4 4 0 0 0 0
Сделай так  чтобы компьютер вошёл в спящий режим после уменьшения громкости Телеграмма  переведи аудио на Bluetooth и установи подсветку на мягкий голубой цвет  Пока я смотрел на экран  вспомнил про ключи ;3 3 3 3 3 3 3 3 0 1 1 1 2 2 2 2 0 4 4 4 4 4 4 0 0 0 0 0 0 0 0
Включи компьютер  переведи звук на внешние колонки  увеличь громкость системы  убавь браузер и активируй подсветку на белый цвет  Пока я проверял сообщения  за окном светало ;3 3 2 2 2 2 2 1 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0 0 0
Поставь громкость системы на 70  увеличь Дискорд до 60  убавь Телеграмм и сделай подсветку тёплой  Пока я пил чай  подумал про письмо ;1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 0 0 0 0 0 0 0
Сделай так  чтобы подсветка меняла цвета  увеличь громкость Телеграмма  убавь системный звук и переведи аудио на HDMI  Печенье осталось на столе ;4 4 4 4 4 4 1 1 1 1 1 1 0 2 2 2 2 0 0 0 0
Поставь громкость системы на 60  увеличь Дискорд до 70  убавь Телеграмм и включи подсветку с плавной сменой оттенков  Пока я пил чай  подумал про письмо ;1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 4 0 0 0 0 0 0 0
Сделай так  чтобы компьютер вошёл в спящий режим после уменьшения громкости Телеграмма  переведи аудио на Bluetooth и установи подсветку на мягкий голубой цвет  Пока я смотр;3 3 3 3 3 3 3 3 0 1 1 1 2 2 2 2 0 4 4 4 4 4 4 0 0 0
Поставь громкость системы на 60 процентов  увеличь звук в Дискорде  сделай так  чтобы подсветка плавно меняла оттенки  а браузер приглуши  Кстати  вода в стакане уже остыла ;1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 0 1 1 0 0 0 0 0 0
Переведи звук на наушники  убавь громкость Телеграмма  включи подсветку на белый цвет и обеспечь  чтобы компьютер оставался включённым  Пока я проверял почту  подумал про ужин ;2 2 2 2 1 1 1 4 4 4 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0
Сделай так  чтобы подсветка была тёплой  увеличь громкость системы  переведи звук в Дискорде на уровень 50 и убавь браузер  Кстати  окно немного приоткрыто ;4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0
Включи компьютер  установи громкость Телеграмма на 70  убавь системный звук  переведи аудио на HDMI и поставь подсветку на мягкий голубой  Пошёл легкий дождь на улице ;3 3 1 1 1 1 1 1 1 1 2 2 2 2 0 4 4 4 4 4 0 0 0 0 0
Сначала убавь громкость в браузере  увеличь звук системы до 60 процентов  переведи аудио устройство на Bluetooth-наушники и обеспечь плавное свечение подсветки  Пока я смотрел на экран  вспомнил про чай ;0 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 0 4 4 4 4 0 0 0 0 0 0 0 0
Переведи звук на гарнитуру  убавь громкость в Телеграмме  сделай так  чтобы подсветка меняла цвет каждые десять секунд  а Дискорд оставь без изменений  Кстати  кошка спит рядом ;2 2 2 2 1 1 1 1 4 4 4 4 4 4 4 4 4 0 0 0 0 0 0 0 0 0
Поставь громкость системы на 50  увеличь браузер до 70  переведи аудио на внешние колонки и включи подсветку на фиолетовый оттенок  Вчерашний файл ещё не сохранил ;1 1 1 1 1 1 1 1 1 2 2 2 2 2 0 4 4 4 4 4 0 0 0 0 0
Сделай так  чтобы компьютер перезагрузился после уменьшения громкости Телеграмма  увеличь звук в Дискорде и переведи подсветку на белый цвет  Пока я ждал загрузку  вспомнил про письмо ;3 3 3 3 3 3 3 3 3 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0 0 0
Переведи звук на HDMI  убавь системный уровень  увеличь громкость в браузере и включи подсветку на тёплый жёлтый  Печенье осталось со вчерашнего дня ;2 2 2 2 1 1 1 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0
Установи подсветку на плавную смену цветов  переведи аудиоустройство на наушники  убавь громкость в Телеграмме и увеличь системный звук  Пока я проверял сообщения  за окном прошёл лёгкий ветер ;4 4 4 4 4 4 2 2 2 2 1 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0
Включи компьютер  переведи звук в Дискорде на уровень 40  убавь громкость браузера и сделай подсветку фиолетовой  Кстати  зарядка для телефона почти закончилась ;3 3 1 1 1 1 1 1 1 1 1 1 0 4 4 4 0 0 0 0 0 0
Сделай так  чтобы подсветка плавно меняла оттенки  увеличь громкость системы  переведи звук на Bluetooth и уменьшай громкость Телеграмма  Пока я думал о работе  вспомнил про чай ;4 4 4 4 4 4 4 1 1 1 2 2 2 2 0 1 1 1 0 0 0 0 0 0 0 0
Поставь громкость в Дискорде на 50  убавь звук браузера  увеличь системный уровень и активируй подсветку на белый  Кошка что-то мяукнула ;1 1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 0 0 0
Переведи аудио на внешние колонки  увеличь громкость Телеграмма  убавь системный звук и включи плавное свечение подсветки  Пока я думал  включился сигнал будильника ;2 2 2 2 2 1 1 1 1 1 1 0 4 4 4 4 0 0 0 0 0 0
Сделай так  чтобы компьютер вошёл в спящий режим после уменьшения громкости браузера  переведи звук на наушники и установи подсветку на мягкий зелёный  Пошёл лёгкий дождь ;3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 0 4 4 4 4 4 0 0 0
Поставь громкость системы на 70  увеличь Дискорд до 60  убавь Телеграмм и активируй подсветку с плавной сменой оттенков  Кстати  окно чуть приоткрыто ;1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 4 0 0 0 0
Переведи звук на Bluetooth  убавь громкость в браузере  увеличь системный звук и сделай так  чтобы подсветка меняла цвета  Пока я пил воду  подумал о письме ;2 2 2 2 1 1 1 1 1 1 1 0 4 4 4 4 4 4 0 0 0 0 0 0 0
Включи компьютер  установи громкость Телеграмма на 80  уменьшай системный звук  переведи аудио на HDMI и поставь подсветку на мягкий оранжевый оттенок  На столе осталась чашка чая ;3 3 1 1 1 1 1 1 1 1 2 2 2 2 0 4 4 4 4 4 4 0 0 0 0 0
Переведи аудио на наушники  увеличь громкость системы  убавь браузер и сделай так  чтобы подсветка меняла оттенки каждые десять секунд  Кошка что-то мяукнула ;2 2 2 2 1 1 1 1 1 0 4 4 4 4 4 4 4 4 4 0 0 0
Сделай так  чтобы компьютер вошёл в спящий режим после уменьшения громкости Телеграмма  переведи звук на Bluetooth и установи подсветку на белый цвет  Пока я пил чай  вспомнил про письмо ;3 3 3 3 3 3 3 3 3 3 3 3 2 2 2 2 0 4 4 4 4 4 0 0 0 0 0 0 0
Поставь громкость в Дискорде на 50  увеличь системный звук  убавь браузер и активируй подсветку на мягкий голубой оттенок  На столе лежит ручка ;1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 4 0 0 0 0
Переведи звук на внешние колонки  убавь громкость в Телеграмме  увеличь системный уровень и включи плавное свечение подсветки  Пока я думал о задачах  светало за окном ;2 2 2 2 2 1 1 1 1 1 1 1 0 4 4 4 4 0 0 0 0 0 0 0 0
Включи компьютер  переведи аудио на наушники  убавь громкость браузера  увеличь громкость системы и сделай подсветку фиолетовой  Кошка тихо спит рядом ;3 3 2 2 2 2 1 1 1 1 1 1 0 4 4 4 0 0 0 0
Сделай так  чтобы подсветка плавно меняла оттенки  увеличь громкость системы  переведи звук в Дискорде на 50 и убавь браузер  Кстати  вода в стакане уже остыла ;4 4 4 4 4 4 4 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0 0 0 0
Поставь громкость системы на 50  увеличь звук в Дискорде до 60  убавь Телеграмм и активируй плавное свечение подсветки  Пока я пил воду  вспомнил про письмо ;1 1 1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 0 0 0 0 0 0 0
Сначала включи компьютер  затем переведи звук на внешние динамики  установи громкость Телеграмма на 60 процентов  а системную — на 40  и измени подсветку на мягкий голубой оттенок  чтобы рабочее место выглядело спокойнее ;0 3 3 0 2 2 2 2 2 1 1 1 1 1 1 0 1 1 1 1 0 4 4 4 4 4 4 0 0 0 0 0
Пока я ищу нужный документ  убавь громкость в браузере до минимального значения  установи аудио устройство на наушники  включи подсветку с плавным переходом цветов и немного снизь общую яркость системы ;0 0 0 0 0 1 1 1 1 1 1 1 2 2 2 2 2 4 4 4 4 4 4 0 0 1 1 1 1
Переведи звук в Дискорде на уровень 50  увеличь громкость Телеграмма  уменьшай системный звук до 40  и установи подсветку на фиолетовый цвет — пусть всё выглядит гармонично ;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0
Сначала измени цвет подсветки на оранжевый  потом переведи аудио на HDMI и установи громкость в браузере чуть выше системного уровня для лучшей слышимости видео ;0 4 4 4 4 4 0 2 2 2 2 0 1 1 1 1 1 1 1 1 0 0 0 0
Кстати  вспомнилось про ужин — убавь громкость Телеграмма  увеличь звук в Дискорде и установи яркость подсветки на 60 процентов  чтобы не слепила глаза ;0 0 0 0 0 1 1 1 1 1 1 1 0 4 4 4 4 4 4 0 0 0 0
Установи подсветку на белый цвет  переведи звук на Bluetooth-наушники  уменьшай системную громкость до 30 и увеличь громкость браузера до 70 процентов ;4 4 4 4 4 2 2 2 2 1 1 1 1 1 0 1 1 1 1 1 1
Сначала увеличь громкость системы до 70 процентов  затем убавь звук в браузере  переведи аудиовыход на Bluetooth-наушники и установи подсветку на мягкий голубой цвет  чтобы создать спокойную атмосферу для работы ;0 1 1 1 1 1 1 0 1 1 1 1 2 2 2 2 0 4 4 4 4 4 4 0 0 0 0 0 0
Кстати  пока я вспоминаю пароль от почты  переведи звук в Телеграмме на уровень 60  сделай Дискорд потише и поменяй цвет подсветки на тёплый жёлтый оттенок  чтобы стало уютнее ;0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 4 4 0 0 0
Перезагрузи компьютер  затем сразу установи громкость системы на 50 процентов  переведи звук на внешние динамики  измени подсветку на плавное чередование холодных и тёплых тонов и уменьши яркость до средней ;3 3 0 0 1 1 1 1 1 1 2 2 2 2 2 4 4 4 4 4 4 4 4 4 0 4 4 4 4
Сначала приглуши громкость в браузере  потом увеличь звук в Телеграмме  переведи аудио устройство на HDMI и установи подсветку на синий цвет  а заодно активируй спящий режим через три минуты ;0 1 1 1 1 0 1 1 1 1 2 2 2 2 2 0 4 4 4 4 4 0 0 3 3 3 3 3 3
Что-то я проголодался — установи подсветку на фиолетовый оттенок  увеличь громкость системы  убавь звук в Дискорде и переведи основное аудио устройство на наушники с приоритетом мультимедийного вывода ;0 0 0 0 4 4 4 4 4 1 1 1 1 1 1 1 0 2 2 2 2 2 2 2 2 2 2
Переведи звук в Телеграмме на уровень 40  сделай браузер громче до 70  а системный звук оставь без изменений  затем измени подсветку на белый цвет и включи режим энергосбережения ;1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 4 4 4 4 4 0 3 3 3
Сначала включи компьютер  потом переведи звук на Bluetooth-гарнитуру  установи громкость системы на 80 процентов  а яркость подсветки поставь на минимум  чтобы не мешала в вечернее время ;0 3 3 0 2 2 2 2 1 1 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0 0
Кстати  пока я вспомнил — измени подсветку на зелёный цвет  увеличь громкость браузера  убавь звук в Телеграмме и переведи аудиовыход на внешние динамики  чтобы проверить качество колонок ;0 0 0 0 0 4 4 4 4 4 1 1 1 1 1 1 1 0 2 2 2 2 2 0 0 0 0
Выполни полное выключение компьютера  но перед этим уменьшай громкость системы  сделай подсветку плавно затухающей  и переведи звук в Дискорде на минимальный уровень для корректного завершения работы ;3 3 3 3 0 0 0 1 1 1 4 4 4 4 0 1 1 1 1 1 1 1 0 0 0 0
Переведи аудио устройство на наушники  установи громкость Телеграмма на 60  убавь браузер до 30  а затем перезапусти систему и включи мягкую фиолетовую подсветку для вечернего освещения ;2 2 2 2 2 1 1 1 1 1 1 1 1 1 0 0 3 3 0 4 4 4 4 0 0 0
Поставь системную громкость на 70  увеличь звук в Дискорде  убавь громкость в браузере и переведи подсветку на оранжевый цвет — пусть атмосфера станет чуть теплее и ярче ;1 1 1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 0 0 0 0 0 0 0 0
Пока я думаю  зачем я вообще это запустил — включи компьютер  измени подсветку на холодный белый  увеличь громкость системы и переведи звук на HDMI-устройство ;0 0 0 0 0 0 0 0 0 3 3 4 4 4 4 4 1 1 1 0 2 2 2 2
Установи яркость подсветки на 90 процентов  затем сделай громкость Телеграмма немного ниже  чем системную  а в браузере наоборот — чуть выше  После этого переведи компьютер в спящий режим ;4 4 4 4 4 4 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 3 3 3 3 3
Сначала включи подсветку  потом установи аудиовыход на внешние динамики  увеличь громкость в Дискорде и уменьшай системный звук до комфортного уровня ;0 4 4 0 2 2 2 2 2 1 1 1 1 0 1 1 1 1 1 1
Что-то глаза устают — убавь яркость подсветки до 40 процентов  увеличь громкость Телеграмма  приглуши звук браузера и переведи систему в режим сна через пять минут ;0 0 0 0 4 4 4 4 4 4 1 1 1 1 1 1 0 3 3 3 3 3 3 3 3
Переведи звук на Bluetooth-наушники  сделай громкость системы на уровне 60  а в Телеграмме установи 80 Затем измени подсветку на плавное смешение синего и белого ;2 2 2 2 1 1 1 1 1 1 0 1 1 1 1 0 4 4 4 4 4 4 4 4
Включи компьютер  установи подсветку на красный цвет  убавь громкость браузера до 30  а системный звук оставь без изменений ;3 3 4 4 4 4 4 1 1 1 1 1 0 1 1 1 1 1
Между прочим  за окном наконец выглянуло солнце — измени подсветку на ярко-жёлтый оттенок  увеличь громкость в Дискорде и переведи звук на гарнитуру ;0 0 0 0 0 0 0 0 4 4 4 4 4 1 1 1 1 0 2 2 2 2
Сначала включи подсветку  потом активируй перезагрузку системы  установи аудио устройство на HDMI и увеличь громкость в Телеграмме на несколько уровней ;0 4 4 0 3 3 3 2 2 2 2 2 0 1 1 1 1 1 1 1
Сделай громкость системы на 50 процентов  установи звук в браузере на 60  в Дискорде на 40  затем включи подсветку с плавной сменой оттенков каждые десять секунд ;1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4 4 4 4 4
Установи яркость подсветки на 70 процентов  переведи звук на внешние колонки и увеличь громкость Телеграмма на два уровня  чтобы уведомления были отчётливо слышны ;4 4 4 4 4 4 2 2 2 2 2 0 1 1 1 1 1 1 0 0 0 0 0
Что-то скучно стало — измени подсветку на зелёный  увеличь громкость системы  а браузер сделай чуть тише ;0 0 0 0 4 4 4 4 1 1 1 0 1 1 1 1
Алиса  установи громкость в Телеграмм на 69   переключи звук на переднюю панель  смени цвет подсветки на цвет морской пены и перезагрузи компьютер  Кстати  не забудь добавить помидоры в список покупок ;0 1 1 1 1 1 1 2 2 2 2 2 4 4 4 4 4 4 4 0 3 3 0 0 0 0 0 0 0 0
Сначала убавь громкость в браузере до 33   затем переведи ПК в спящий режим  но перед этим выключи подсветку  Интересно  а пауки плетут новую паутину каждый день?;0 1 1 1 1 1 1 0 3 3 3 3 3 0 0 0 4 4 0 0 0 0 0 0 0 0
Привет  Сделай погромче в Дискорде на 17   переключи аудио на портативную акустику и увеличь яркость подсветки до 86   Мне нужно срочно найти зарядное устройство для планшета ;0 1 1 1 1 1 1 2 2 2 2 2 0 4 4 4 4 4 0 0 0 0 0 0 0 0
"Пока я выносу мусор  перезагрузи систему  приглуши системные звуки до 14  и установи подсветку на режим ""падающие листья"" для осеннего настроения ";0 0 0 0 3 3 1 1 1 1 1 0 4 4 4 4 4 4 4 4 0 0 0
Смени аудиоустройство на наушники  прибавь громкость системы на 7   затем выключи компьютер и смени цвет подсветки на мокрый асфальт  очень урбанистично ;2 2 2 2 1 1 1 1 1 0 3 3 0 4 4 4 4 4 4 0 0
Ассистент  срочно переведи звук в браузере на 89   убавь в Телеграмм до 37   переключи аудио на домашний кинотеатр и измени яркость подсветки на 53   Кажется  я оставил открытой дверь на балкон ;0 0 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2 0 4 4 4 4 4 0 0 0 0 0 0 0
Установи в Дискорде громкость на 64   переключи вывод звука на боковой выход  включи спящий режим через 22 минуты и смени цвет подсветки на цвет спелой вишни ;1 1 1 1 1 1 2 2 2 2 2 2 3 3 3 3 3 3 0 4 4 4 4 4 4 4
Сначала полностью отключи подсветку  потом переведи все аудио на встроенный усилитель и убавь общую громкость до 11   Пора бы почистить клавиатуру ;0 4 4 4 0 2 2 2 2 2 2 0 1 1 1 1 1 0 0 0 0
Привет  Перезагрузи компьютер  прибавь громкость в браузере на три деления  переключи аудио на наушники и установи подсветку на плавно меняющийся фиолетовый цвет ;0 3 3 1 1 1 1 1 1 1 2 2 2 2 0 4 4 4 4 4 4 4
Смени аудиоустройство на колонки  убавь громкость Телеграмм до 41   затем переведи ПК в гибернацию и плавно погаси подсветку  Дождь  кажется  закончился  и выглянуло солнце ;2 2 2 2 1 1 1 1 1 0 3 3 3 3 0 4 4 4 0 0 0 0 0 0
Алиса  прибавь громкость системы на пять пунктов  переключи звук на беспроводные наушники  выключи компьютер через 28 минут и смени цвет на цвет молодой листвы ;0 1 1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 0 4 4 4 4 4 4
Сначала сделай потише в браузере до 47   потом убавь в Дискорде до 44   смени аудиоустройство и увеличь яркость подсветки  Мой попугай пытается повторить твои команды ;0 1 1 1 1 1 1 0 1 1 1 1 1 2 2 0 4 4 4 0 0 0 0 0 0
Пока я составляю план на день  выключи звук в системе  переведи аудио на монитор и установи подсветку на бледно-золотой цвет для мотивации ;0 0 0 0 0 0 1 1 1 1 2 2 2 2 0 4 4 4 4 4 0 0
Привет  Установи громкость Телеграмм на 73   переключи вывод звука на верхний аудиопорт  прибавь яркость на 12  и перезагрузи систему  Напоминаю отправить документы по почте ;0 1 1 1 1 1 2 2 2 2 2 2 4 4 4 4 0 3 3 0 0 0 0 0
Сначала переведи компьютер в сон  затем отключи подсветку полностью и установи громкость на ноль  Интересно  а ты когда-нибудь была в Париже?;0 3 3 3 3 0 4 4 4 0 1 1 1 1 0 0 0 0 0 0 0
Ассистент  переключи аудио на наушники  увеличь громкость в браузере до 94   убавь в системе до 16  и смени яркость подсветки на 67  ;0 2 2 2 2 1 1 1 1 1 1 1 1 1 1 1 0 4 4 4 4 4
Уменьши громкость Дискорда до 53   переключи звук на колонки  включи спящий режим через 50 минут и измени цвет на бронзовый ;1 1 1 1 1 2 2 2 2 3 3 3 3 3 3 0 0 0 0 0
